Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,1757600000,,,,1757600000,,57083617,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,31100000,,,,31100000,,979643,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,76,Brazil,BRA,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,357000000,,,,357000000,,11805065,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,203,Czechia,CZE,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,5000000,,,,5000000,,163617,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,251,France,FRA,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,113400000,,,,113400000,,3383113,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,381,Italy,ITA,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,32800000,,,,32800000,,1057525,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,458,Malaysia,MYS,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,66000000,,,,66000000,,2096154,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,528,Netherlands,NLD,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,160000000,,,,160000000,,5499584,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,608,Philippines,PHL,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,110000000,,,,110000000,,3887405,,,0
H3,2007,2007,2007,4,0,2,Export,12,Algeria,DZA,643,Russian Federation,RUS,,,,,,,,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",8,Weight in kilograms,95800000,,,,95800000,,3360933,,,0
