H5,2017,2017,2017,4,0,2,Export,12,Algeria,DZA,858,Uruguay,URY,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,33000000,,,,33000000,,1718301,,,0
H5,2017,2017,2017,4,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2765540,,,,2765540,,18760,,,0
H5,2017,2017,2017,4,0,2,Export,20,Andorra,AND,724,Spain,ESP,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2765540,,,,2765540,,18760,,,0
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,32155,,,,32155,,11547,,,0
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,124,Canada,CAN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,32000,,,,32000,,11309,,,0
H5,2017,2017,2017,4,0,2,Export,36,Australia,AUS,842,USA,USA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,155,,,,155,,237,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,2454931,,,,2454931,,154653,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,191,Croatia,HRV,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,655742,,,,655742,,46654,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,276,Germany,DEU,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,488961,,,,488961,,33805,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,348,Hungary,HUN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,805702,,,,805702,,42737,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,688,Serbia,SRB,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,375,,,,375,,679,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,705,Slovenia,SVN,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,425111,,,,425111,,21472,,,0
H5,2017,2017,2017,4,0,2,Export,40,Austria,AUT,757,Switzerland,CHE,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,79040,,,,79040,,9303,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,23412089,,,,23412089,,2639009,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,24,Angola,AGO,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,700000,,,,700000,,106866,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,120,Cameroon,CMR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,100000,,,,100000,,16397,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,251,France,FRA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,13487800,,,,13487800,,1419537,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,276,Germany,DEU,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,7813894,,,,7813894,,921398,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,288,Ghana,GHA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,7550,,,,7550,,3077,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,372,Ireland,IRL,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,125705,,,,125705,,32066,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,442,Luxembourg,LUX,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,28846,,,,28846,,4098,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1102221,,,,1102221,,114124,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,0,,,,0,,13,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,46066,,,,46066,,21149,,,0
H5,2017,2017,2017,4,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,5,,,,5,,281,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,20001,,,,20001,,4172,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,24,Angola,AGO,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,1,,,,1,,17,,,0
H5,2017,2017,2017,4,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,20000,,,,20000,,4155,,,0
H5,2017,2017,2017,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,8,Weight in kilograms,36,,,,36,,300,,,0
